Date,ALBSA
7/1/1968,38.645
8/1/1968,8.71
9/1/1968,-31.233
10/1/1968,41.064
11/1/1968,-291.9
12/1/1968,132.419
1/1/1969,237.645
2/1/1969,-90.036
3/1/1969,47.452
4/1/1969,-40.3
5/1/1969,-54.903
6/1/1969,-50.067
7/1/1969,158.968
8/1/1969,171.193
9/1/1969,-15.5
10/1/1969,-96.484
11/1/1969,-78.9
12/1/1969,-201.226
1/1/1970,-174.613
2/1/1970,-212.25
3/1/1970,-149.516
4/1/1970,-9.6
5/1/1970,-74.613
6/1/1970,11.767
7/1/1970,35.677
8/1/1970,91.452
9/1/1970,38
10/1/1970,108.387
11/1/1970,244.033
12/1/1970,113.807
1/1/1971,16.323
2/1/1971,-112.536
3/1/1971,-46.29
4/1/1971,-83.033
5/1/1971,-87.032
6/1/1971,3.7
7/1/1971,91.032
8/1/1971,60.193
9/1/1971,60.833
10/1/1971,141.484
11/1/1971,51.033
12/1/1971,175.387
1/1/1972,59.065
2/1/1972,-73.104
3/1/1972,-2.968
4/1/1972,41.8
5/1/1972,-4.71
6/1/1972,18
7/1/1972,71.807
8/1/1972,71.064
9/1/1972,16.033
10/1/1972,122.419
11/1/1972,-64.067
12/1/1972,57.226
1/1/1973,102.516
2/1/1973,55.179
3/1/1973,-73.903
4/1/1973,-79.3
5/1/1973,-108.484
6/1/1973,-36.333
7/1/1973,118.871
8/1/1973,184.419
9/1/1973,47.167
10/1/1973,44.419
11/1/1973,199.933
12/1/1973,-79.355
1/1/1974,-46.968
2/1/1974,-64.107
3/1/1974,-63.71
4/1/1974,-123.467
5/1/1974,-37.645
6/1/1974,24.233
7/1/1974,116.161
8/1/1974,125.484
9/1/1974,-16.8
10/1/1974,-176.903
11/1/1974,18.867
12/1/1974,-108.548
1/1/1975,44.807
2/1/1975,-31
3/1/1975,-43.323
4/1/1975,110.7
5/1/1975,-131.355
6/1/1975,6.8
7/1/1975,30
8/1/1975,126.032
9/1/1975,63.7
10/1/1975,-26.581
11/1/1975,-7.933
12/1/1975,-39.161
1/1/1976,-42.581
2/1/1976,4.276
3/1/1976,22.032
4/1/1976,-7.5
5/1/1976,-35.129
6/1/1976,50.8
7/1/1976,45.194
8/1/1976,86.452
9/1/1976,-80.733
10/1/1976,-51.839
11/1/1976,-98
12/1/1976,-177.29
1/1/1977,-218.548
2/1/1977,-182.25
3/1/1977,29.742
4/1/1977,72.633
5/1/1977,-6.968
6/1/1977,-25.267
7/1/1977,-15.419
8/1/1977,-9.032
9/1/1977,198.8
10/1/1977,-88.968
11/1/1977,-128.867
12/1/1977,84.516
1/1/1978,-81.258
2/1/1978,-135.571
3/1/1978,-129.355
4/1/1978,-3
5/1/1978,-59.581
6/1/1978,162.233
7/1/1978,32.29
8/1/1978,140.935
9/1/1978,15.1
10/1/1978,-81.871
11/1/1978,171.733
12/1/1978,193.032
1/1/1979,48.161
2/1/1979,-5.607
3/1/1979,-96.968
4/1/1979,122.167
5/1/1979,-98.452
6/1/1979,159.1
7/1/1979,150.516
8/1/1979,147.258
9/1/1979,-32.733
10/1/1979,-128.226
11/1/1979,125.767
12/1/1979,52.323
1/1/1980,-30.452
2/1/1980,-101.379
3/1/1980,-5.161
4/1/1980,-247.733
5/1/1980,-115.968
6/1/1980,179.5
7/1/1980,49.032
8/1/1980,125.871
9/1/1980,-27.867
10/1/1980,-60.774
11/1/1980,-92.533
12/1/1980,-173.484
1/1/1981,-129.194
2/1/1981,-79.214
3/1/1981,-146.258
4/1/1981,93.6
5/1/1981,-48.774
6/1/1981,-61.567
7/1/1981,187.645
8/1/1981,45.742
9/1/1981,-30.167
10/1/1981,-17.355
11/1/1981,-28.7
12/1/1981,8.935
1/1/1982,-28.581
2/1/1982,111.643
3/1/1982,107.71
4/1/1982,66.133
5/1/1982,-20.677
6/1/1982,11.767
7/1/1982,46.065
8/1/1982,122.677
9/1/1982,-15.333
10/1/1982,46.613
11/1/1982,-62.633
12/1/1982,-150.355
1/1/1983,-196.065
2/1/1983,-273.643
3/1/1983,-235.387
4/1/1983,25.533
5/1/1983,-73.839
6/1/1983,-58.067
7/1/1983,43.677
8/1/1983,208.968
9/1/1983,61.633
10/1/1983,53.968
11/1/1983,-145.633
12/1/1983,78.645
1/1/1984,-50.064
2/1/1984,-103.379
3/1/1984,-197.806
4/1/1984,-73.567
5/1/1984,22.419
6/1/1984,-19.9
7/1/1984,155.548
8/1/1984,162.71
9/1/1984,-10.333
10/1/1984,-45.194
